timestamp,roll,pitch,yaw,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
3.50749e+07,1.90536,1.09308,-0.0458314,-nan,4.87794e+20,-1.26325e+23,2.80209e+11,3.46354e+09,-2.06808e+12
3.50798e+07,1.42632,0.947132,0.556699,-nan,4.87917e+20,-1.26397e+23,2.80416e+11,3.51352e+09,-2.0687e+12
3.50848e+07,1.80542,1.1759,1.92298,-nan,4.88045e+20,-1.2647e+23,2.80436e+11,3.63926e+09,-2.06936e+12
3.50898e+07,2.92358,1.04608,-2.27797,-nan,4.8817e+20,-1.26542e+23,2.80357e+11,3.55935e+09,-2.07003e+12
3.50948e+07,2.88665,0.635479,-1.5219,-nan,4.88287e+20,-1.26615e+23,2.80357e+11,3.32963e+09,-2.07063e+12
3.50997e+07,2.5742,0.326105,-1.12536,-nan,4.88394e+20,-1.26688e+23,2.80455e+11,3.04817e+09,-2.07114e+12
3.51047e+07,2.14949,0.230521,-0.648042,-nan,4.88493e+20,-1.26761e+23,2.80672e+11,2.81651e+09,-2.07161e+12
3.51097e+07,1.73452,0.475579,0.174351,-nan,4.88591e+20,-1.26833e+23,2.80963e+11,2.80021e+09,-2.07212e+12
3.51147e+07,1.77052,0.711047,1.51176,-nan,4.88697e+20,-1.26906e+23,2.81041e+11,3.03153e+09,-2.07269e+12
3.51197e+07,2.45393,0.678328,-2.83219,-nan,4.88803e+20,-1.26979e+23,2.80819e+11,3.0002e+09,-2.07329e+12
3.51246e+07,2.61758,0.0644429,-1.51518,-nan,4.88897e+20,-1.27052e+23,2.80809e+11,2.67656e+09,-2.07371e+12
3.51296e+07,1.91895,-0.362084,-0.804819,-nan,4.88981e+20,-1.27125e+23,2.80984e+11,2.40747e+09,-2.07397e+12
3.51346e+07,1.18002,0.575604,0.153231,-nan,4.89065e+20,-1.27197e+23,2.81273e+11,2.39031e+09,-2.07447e+12
3.51396e+07,2.4454,0.705269,2.61485,-nan,4.89154e+20,-1.2727e+23,2.81109e+11,2.5284e+09,-2.07507e+12
3.51446e+07,2.46311,0.0913894,-2.4023,-nan,4.89237e+20,-1.27343e+23,2.80854e+11,2.34129e+09,-2.07549e+12
3.51495e+07,2.43114,-0.317526,-1.23032,-nan,4.89308e+20,-1.27416e+23,2.80929e+11,2.02737e+09,-2.07579e+12
3.51545e+07,1.59776,-0.126111,-0.303751,-nan,4.89374e+20,-1.27489e+23,2.81219e+11,1.87311e+09,-2.0761e+12
3.51595e+07,2.15254,0.978675,1.5116,-nan,4.89445e+20,-1.27562e+23,2.81274e+11,2.01892e+09,-2.07674e+12
3.51645e+07,2.52707,0.240481,2.8195,-nan,4.8952e+20,-1.27635e+23,2.80991e+11,2.143e+09,-2.07722e+12
3.51695e+07,2.8639,-0.351556,-2.35426,-nan,4.89587e+20,-1.27708e+23,2.8075e+11,1.91502e+09,-2.0775e+12
3.51744e+07,2.20718,-0.84683,-1.66224,-nan,4.89646e+20,-1.27781e+23,2.80682e+11,1.67011e+09,-2.07763e+12
3.51794e+07,1.48427,-0.0839708,-0.585927,-nan,4.89697e+20,-1.27855e+23,2.80926e+11,1.43627e+09,-2.07794e+12
3.51844e+07,2.69906,0.784331,1.73631,-nan,4.89754e+20,-1.27928e+23,2.80917e+11,1.63555e+09,-2.07856e+12
3.51894e+07,2.48467,-0.219641,2.50065,-nan,4.8982e+20,-1.28001e+23,2.80669e+11,1.86708e+09,-2.07888e+12
3.51944e+07,2.66923,-0.979275,-2.44407,-nan,4.89881e+20,-1.28074e+23,2.80474e+11,1.74239e+09,-2.07898e+12
3.51993e+07,1.03532,-0.685326,-0.800353,-nan,4.89935e+20,-1.28147e+23,2.80605e+11,1.53684e+09,-2.07909e+12
3.52043e+07,-2.80129,0.54766,2.76831,-nan,4.89992e+20,-1.2822e+23,2.80361e+11,1.6156e+09,-2.07965e+12
3.52093e+07,2.48545,-0.730851,2.80452,-nan,4.90053e+20,-1.28294e+23,2.80112e+11,1.74062e+09,-2.07981e+12
3.52143e+07,0.307178,-1.01626,-0.118028,-nan,4.90114e+20,-1.28367e+23,2.8024e+11,1.71035e+09,-2.07984e+12
3.52192e+07,-2.64105,0.465478,-3.09684,-nan,4.90173e+20,-1.2844e+23,2.79966e+11,1.6729e+09,-2.08038e+12
3.52242e+07,2.40893,-0.796253,-3.01588,-nan,4.90231e+20,-1.28513e+23,2.79704e+11,1.6713e+09,-2.08051e+12
3.52292e+07,1.0152,-0.904973,-0.473825,-nan,4.90286e+20,-1.28587e+23,2.79853e+11,1.54796e+09,-2.08058e+12
3.52342e+07,-2.41314,0.976874,2.98651,-nan,4.9034e+20,-1.2866e+23,2.79691e+11,1.53621e+09,-2.08122e+12
3.52392e+07,2.55379,-0.532493,2.61823,-nan,4.904e+20,-1.28733e+23,2.79432e+11,1.70868e+09,-2.08143e+12
3.52441e+07,1.70405,-0.779296,-1.59157,-nan,4.90452e+20,-1.28807e+23,2.79385e+11,1.46052e+09,-2.08155e+12
3.52491e+07,3.12799,1.0595,0.988151,-nan,4.90507e+20,-1.2888e+23,2.79453e+11,1.5719e+09,-2.08221e+12
3.52541e+07,2.37918,-0.277742,1.62656,-nan,4.90575e+20,-1.28954e+23,2.7946e+11,1.9145e+09,-2.0825e+12
3.52591e+07,1.99355,-0.0452496,-2.8612,-nan,4.9064e+20,-1.29027e+23,2.79116e+11,1.85694e+09,-2.08285e+12
3.52641e+07,2.80412,-0.26073,0.2581,-nan,4.90708e+20,-1.291e+23,2.79452e+11,1.92987e+09,-2.08314e+12
3.5269e+07,1.2756,-0.31009,1.70193,-nan,4.90788e+20,-1.29174e+23,2.79453e+11,2.25653e+09,-2.08337e+12
3.5274e+07,-2.95417,0.327057,-0.459444,-nan,4.90863e+20,-1.29247e+23,2.79733e+11,2.12507e+09,-2.08387e+12
3.5279e+07,1.8313,-0.850484,0.423521,-nan,4.9094e+20,-1.29321e+23,2.79962e+11,2.17908e+09,-2.08397e+12
3.5284e+07,0.215178,1.00242,0.981987,-nan,4.91023e+20,-1.29395e+23,2.8009e+11,2.35621e+09,-2.08457e+12
3.5289e+07,2.9976,0.0167387,-1.17374,-nan,4.91095e+20,-1.29468e+23,2.80212e+11,2.0454e+09,-2.08497e+12
3.52939e+07,1.11635,-0.405124,0.0579894,-nan,4.91166e+20,-1.29542e+23,2.8051e+11,2.02492e+09,-2.08517e+12
3.52989e+07,-2.47398,0.992413,-2.04738,-nan,4.91233e+20,-1.29615e+23,2.80464e+11,1.87794e+09,-2.0858e+12
3.53039e+07,2.14723,-0.310068,-1.84427,-nan,4.91289e+20,-1.29689e+23,2.80346e+11,1.58247e+09,-2.08607e+12
3.53089e+07,0.875185,0.936236,-0.615052,-nan,4.91339e+20,-1.29763e+23,2.80503e+11,1.43601e+09,-2.08667e+12
3.53139e+07,2.52561,0.599011,2.6955,-nan,4.91395e+20,-1.29836e+23,2.80286e+11,1.56421e+09,-2.08722e+12
3.53188e+07,1.82702,0.524114,-1.91492,-nan,4.91441e+20,-1.2991e+23,2.80159e+11,1.31478e+09,-2.08774e+12
3.53238e+07,2.94004,0.786727,1.41246,-nan,4.91495e+20,-1.29984e+23,2.80198e+11,1.51779e+09,-2.08834e+12
3.53288e+07,1.53576,0.271746,2.35758,-nan,4.91557e+20,-1.30058e+23,2.79996e+11,1.76869e+09,-2.08878e+12
3.53338e+07,-2.90746,0.404966,0.340783,-nan,4.91623e+20,-1.30132e+23,2.80269e+11,1.87022e+09,-2.08929e+12
3.53387e+07,1.60757,-0.155794,0.984545,-nan,4.91698e+20,-1.30205e+23,2.80478e+11,2.12294e+09,-2.08958e+12
3.53437e+07,-1.88617,1.16166,-0.742016,-nan,4.91771e+20,-1.30279e+23,2.80588e+11,2.06547e+09,-2.09023e+12
3.53487e+07,2.67616,0.017603,-0.732987,-nan,4.91836e+20,-1.30353e+23,2.80821e+11,1.83625e+09,-2.09062e+12
3.53537e+07,1.18654,0.563289,0.138421,-nan,4.91901e+20,-1.30427e+23,2.81107e+11,1.84724e+09,-2.09113e+12
3.53587e+07,-2.76788,0.894932,-2.29921,-nan,4.91962e+20,-1.30501e+23,2.80992e+11,1.70072e+09,-2.09175e+12
3.53636e+07,2.23618,0.280012,-1.53129,-nan,4.92011e+20,-1.30575e+23,2.80983e+11,1.38781e+09,-2.09221e+12
3.53686e+07,2.83664,1.21331,0.990594,-nan,4.92062e+20,-1.30649e+23,2.81039e+11,1.45999e+09,-2.09287e+12
3.53736e+07,2.14774,0.716229,2.32237,-nan,4.9212e+20,-1.30723e+23,2.80894e+11,1.64613e+09,-2.09344e+12
3.53786e+07,-2.98913,0.819617,-0.930222,-nan,4.92173e+20,-1.30797e+23,2.81021e+11,1.48632e+09,-2.09404e+12
3.53836e+07,2.51518,0.466778,0.400739,-nan,4.92229e+20,-1.30871e+23,2.81282e+11,1.58618e+09,-2.09456e+12
